Mês Notificação,Ano,Período,Casos Prováveis
Janeiro,2020,Jan/2020,105353
Fevereiro,2020,Fev/2020,191951
Marco,2020,Mar/2020,212890
Abril,2020,Abr/2020,168559
Maio,2020,Mai/2020,113699
Junho,2020,Jun/2020,63200
Julho,2020,Jul/2020,34443
Agosto,2020,Ago/2020,16252
Setembro,2020,Set/2020,11533
Outubro,2020,Out/2020,9379
Novembro,2020,Nov/2020,10741
Dezembro,2020,Dez/2020,14509
Janeiro,2021,Jan/2021,21698
Fevereiro,2021,Fev/2021,46286
Marco,2021,Mar/2021,78931
Abril,2021,Abr/2021,107772
Maio,2021,Mai/2021,85353
Junho,2021,Jun/2021,52602
Julho,2021,Jul/2021,32478
Agosto,2021,Ago/2021,20439
Setembro,2021,Set/2021,14558
Outubro,2021,Out/2021,11870
Novembro,2021,Nov/2021,17398
Dezembro,2021,Dez/2021,42426
Janeiro,2022,Jan/2022,42894
Fevereiro,2022,Fev/2022,73131
Marco,2022,Mar/2022,229742
Abril,2022,Abr/2022,377629
Maio,2022,Mai/2022,338315
Junho,2022,Jun/2022,129621
Julho,2022,Jul/2022,63128
Agosto,2022,Ago/2022,40177
Setembro,2022,Set/2022,24723
Outubro,2022,Out/2022,20648
Novembro,2022,Nov/2022,23940
Dezembro,2022,Dez/2022,30584
Janeiro,2023,Jan/2023,56548
Fevereiro,2023,Fev/2023,123028
Marco,2023,Mar/2023,295858
Abril,2023,Abr/2023,389776
Maio,2023,Mai/2023,302129
Junho,2023,Jun/2023,103992
Julho,2023,Jul/2023,41713
Agosto,2023,Ago/2023,27955
Setembro,2023,Set/2023,21152
Outubro,2023,Out/2023,24567
Novembro,2023,Nov/2023,38443
Dezembro,2023,Dez/2023,83775
Janeiro,2024,Jan/2024,337056
Fevereiro,2024,Fev/2024,986704
Marco,2024,Mar/2024,1604272
Abril,2024,Abr/2024,1682213
Maio,2024,Mai/2024,1161770
Junho,2024,Jun/2024,353298
Julho,2024,Jul/2024,118417
Agosto,2024,Ago/2024,56489
Setembro,2024,Set/2024,40067
Outubro,2024,Out/2024,44932
Novembro,2024,Nov/2024,39406
